artist,name album,year,type_disc
Kanye West,BULLY,2026,Álbum
Kanye West,BULLY,2025,Sencillo
Kanye West,BULLY,2025,Sencillo
Kanye West,DONDA 2,2025,Álbum
Kanye West,VULTURES 2,2024,Álbum
Kanye West,SLIDE,2024,Sencillo
Kanye West,No Apologies,2024,Sencillo
Kanye West,No Face,2024,Sencillo
Kanye West,VULTURES 1,2024,Álbum
Kanye West,CARNIVAL PACK (feat. Rich The Kid Playboi Carti),2024,EP
Kanye West,CARNIVAL - HOOLIGANS VERSION,2024,Sencillo
Kanye West,CARNIVAL (feat. Rich The Kid Playboi Carti),2024,Sencillo
Kanye West,CARNIVAL (INSTRUMENTAL),2024,Sencillo
Kanye West,TALKING,2024,Sencillo
Kanye West,VULTURES PACK,2024,EP
Kanye West,VULTURES,2023,Sencillo
Kanye West,VULTURES,2023,Sencillo
Kanye West,Where They At,2023,Sencillo
Kanye West,Stand United,2023,Sencillo
Kanye West,Hot Shit (feat. Ye & Lil Durk),2022,Sencillo
Kanye West,Hot Shit (feat. Ye & Lil Durk) [Instrumental],2022,Sencillo
Kanye West,Eazy,2022,Sencillo
Kanye West,True Love,2022,Sencillo
Kanye West,City of Gods,2022,Sencillo
Kanye West,Donda (Deluxe),2021,Álbum
Kanye West,Donda,2021,Álbum
Kanye West,Hurricane,2021,Sencillo
Kanye West,Life Of The Party,2021,Sencillo
Tyga,What I Like (with Moliy Ayetian & Tyga),2026,Sencillo
Tyga,What I Like (with Moliy Ayetian & Tyga),2026,Sencillo
Tyga,DON’T KILL THE PARTY (feat. Tyga Shoreline Mafia & Quavo) [Coast 2 Coast],2025,Sencillo
Tyga,TWITCH (feat. 2 Chainz & Tyga),2025,Sencillo
Tyga,NSFW,2025,Álbum
Tyga,Pop It Off,2025,Sencillo
Tyga,Ooweee,2025,Sencillo
Tyga,song for mam,2024,Sencillo
Tyga,Slave,2024,Sencillo
Tyga,Don't Be Fooled,2024,EP
Tyga,Spooky,2024,Sencillo
Tyga,Comfortable (Remix),2024,Sencillo
Tyga,Nasty XXX Remix (feat. Tyga),2024,Sencillo
Tyga,No Question,2024,Sencillo
Tyga,Uh Huh,2024,Sencillo
Tyga,Hello B*tch,2024,Sencillo
Tyga,Sensei,2024,Sencillo
Tyga,Kim Kardashian,2023,Sencillo
Tyga,Drop Top Sleigh Ride (with Tyga),2023,Sencillo
Tyga,Hit Me When U Leave The Klub: The Playlist,2023,Álbum
Tyga,Brand New,2023,Sencillo
Tyga,Bops Goin Brazy,2023,Sencillo
Tyga,soak city (feat. BlueBucksClan),2023,Sencillo
Tyga,PARTy T1M3,2023,Sencillo
Tyga,BUTTERFLY COUPE feat. Tyga,2023,Sencillo
Tyga,BIRTHDAY,2023,Sencillo
Tyga,Main One (feat. Tyga),2023,Sencillo
Tyga,PLATINUM,2023,Sencillo
Hocico,Dark Paradigm,2026,Sencillo
Hocico,Hey Tú,2025,EP
Hocico,Hey Tú! (Frank Spector Remix),2025,Sencillo
Hocico,Hey Tú!,2025,Sencillo
Hocico,Und die Engel singen,2025,EP
Hocico,Und die Engel singen (Alas Caidas Remix),2025,Sencillo
Hocico,Brainrot,2025,EP
Hocico,The Screen,2025,EP
Hocico,Fallen Paradise,2024,Sencillo
Hocico,A Symphony Of Rage,2023,Sencillo
Hocico,Upside Down (Hocico Remix),2022,Sencillo
Hocico,HyperViolent,2022,Álbum
Hocico,Weapons of Resistance,2022,Sencillo
Hocico,Backstabbers,2021,Sencillo
Hocico,Lost World,2021,EP
Hocico,Broken Empires (Radio Version),2021,Sencillo
Hocico,Obscured,2020,EP
Hocico,Artificial Extinction,2019,Álbum
Hocico,Rextinction,2019,Álbum
Hocico,Damaged,2019,Sencillo
Hocico,Cross the Line (Tragedy Of Mine Remix),2019,Sencillo
Hocico,Psychonaut,2019,Sencillo
Hocico,Dark Sunday,2019,Sencillo
Hocico,Shalom from Hell Aviv Live (Blasphemies in the Holy Land Pt. 2),2018,Álbum
Hocico,The Spell of the Spider,2017,Álbum
Hocico,Spider Bites,2017,Álbum
Hocico,I Abomination,2017,Sencillo
Hocico,Ofensor (Deluxe Edition),2015,Álbum
Motorama,Caerus,2024,Sencillo
Motorama,Sleep and I Will Sing,2023,Álbum
Motorama,Another Chance,2023,Sencillo
Motorama,Tomorrow,2022,Sencillo
Motorama,Before The Road,2021,Álbum
Motorama,Today and Everyday,2020,Sencillo
Motorama,The New Era,2020,Sencillo
Motorama,Many Nights,2018,Álbum
Motorama,Dialogues,2016,Álbum
Motorama,Holy Day,2016,Sencillo
Motorama,Poverty,2015,Álbum
Motorama,Heavy Wave,2015,Sencillo
Motorama,Special Day,2014,Sencillo
Motorama,Mirror,2014,Sencillo
Motorama,She Is There,2014,Sencillo
Motorama,Eyes,2013,Sencillo
Motorama,Winter at Night,2013,Sencillo
Motorama,Calendar,2012,Álbum
Motorama,Far Away from the City,2011,Sencillo
Motorama,Empty Bed,2011,Sencillo
Motorama,One Moment,2011,Sencillo
Motorama,Alps,2010,Álbum
Motorama,Ghost,2009,Sencillo
Motorama,Bear,2009,EP
Motorama,Horse,2008,EP
Billie Eilish,Guess featuring billie eilish,2024,Sencillo
Billie Eilish,L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],2024,Sencillo
Billie Eilish,HIT ME HARD AND SOFT,2024,Álbum
Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023,Sencillo
Billie Eilish,hotline (edit),2023,Sencillo
Billie Eilish,Guitar Songs,2022,Sencillo
Billie Eilish,Happier Than Ever,2021,Álbum
Billie Eilish,Happier Than Ever (Edit),2021,Sencillo
Billie Eilish,ilomilo (Live From The Film - Billie Eilish: The World’s A Little Blurry),2021,Sencillo
Billie Eilish,Lo Vas A Olvidar (with ROSALÍA),2021,Sencillo
Billie Eilish,Therefore I Am,2020,Sencillo
Billie Eilish,my future,2020,Sencillo
Billie Eilish,No Time To Die,2020,Sencillo
Billie Eilish,everything i wanted,2019,Sencillo
Billie Eilish,bad guy (with Justin Bieber),2019,Sencillo
Billie Eilish,WHEN WE ALL FALL ASLEEP WHERE DO WE GO?,2019,Álbum
Billie Eilish,WHEN I WAS OLDER (Music Inspired By The Film ROMA),2019,Sencillo
Billie Eilish,come out and play,2018,Sencillo
Billie Eilish,lovely (with Khalid),2018,Sencillo
Billie Eilish,bitches broken hearts,2018,Sencillo
Billie Eilish,MyBoi (TroyBoi Remix),2018,Sencillo
Billie Eilish,COPYCAT (Sofi Tukker Remix),2018,Sencillo
Billie Eilish,dont smile at me,2017,EP
Billie Eilish,&burn (with Vince Staples),2017,Sencillo
Billie Eilish,Bellyache (Marian Hill Remix),2017,Sencillo
Billie Eilish,Bored,2017,Sencillo
Billie Eilish,Bellyache,2017,Sencillo
Billie Eilish,Six Feet Under (The Remixes),2017,Sencillo
Tayler The Creator,FISH N STEAK (WHAT IT IS) (feat. Tyler The Creator & Jozzy),2026,Sencillo
Tayler The Creator,DON'T TAP THE GLASS,2025,Álbum
Tayler The Creator,CHROMAKOPIA +,2024,Álbum
Tayler The Creator,CHROMAKOPIA,2024,Álbum
Tayler The Creator,Noid,2024,Sencillo
Tayler The Creator,CALL ME IF YOU GET LOST: The Estate Sale,2023,Álbum
Tayler The Creator,Cash In Cash Out,2022,Sencillo
Tayler The Creator,CALL ME IF YOU GET LOST,2021,Álbum
Tayler The Creator,LUMBERJACK,2021,Sencillo
Tayler The Creator,Tell Me How (Coca-Cola Commercial),2021,Sencillo
Tayler The Creator,Automatic Driver (Tyler The Creator Remix),2020,Sencillo
Tayler The Creator,GROUP B,2020,Sencillo
Tayler The Creator,BEST INTEREST,2020,Sencillo
Tayler The Creator,EARFQUAKE (Channel Tres Remix),2019,Sencillo
Tayler The Creator,IGOR,2019,Álbum
Tayler The Creator,Music Inspired by Illumination & Dr. Seuss' The Grinch,2018,EP
Tayler The Creator,Potato Salad,2018,Sencillo
Tayler The Creator,Peach Fuzz,2018,Sencillo
Tayler The Creator,435,2018,Sencillo
Tayler The Creator,OKRA,2018,Sencillo
Tayler The Creator,Flower Boy,2017,Álbum
Tayler The Creator,Who Dat Boy / 911,2017,Sencillo
Tayler The Creator,Cherry Bomb + Instrumentals,2015,Álbum
Tayler The Creator,Cherry Bomb,2015,Álbum
Tayler The Creator,Wolf + Instrumentals,2013,Álbum
Tayler The Creator,Wolf,2013,Álbum
Tayler The Creator,Domo23,2013,Sencillo
Tayler The Creator,Goblin,2011,Álbum
Hapax,A Different Blue (The Coventry Remix),2021,Sencillo
Hapax,Silvery Track,2021,Sencillo
Hapax,Exile,2021,EP
Hapax,Doctrina Hapax Remix,2021,Sencillo
Hapax,Monade,2019,Álbum
Hapax,Shining Lover,2019,Sencillo
Hapax,Cave,2016,Álbum
Hapax,Stream of Consciousness,2014,Álbum
Kings of Leon,EP #2,2025,EP
Kings of Leon,Atlantic City (Live in Jersey) [feat. Bruce Springsteen and Kings of Leon],2025,Sencillo
Kings of Leon,We're Onto Something (feat. Zach Bryan),2025,Sencillo
Kings of Leon,Bowery (feat. Kings of Leon),2025,Sencillo
Kings of Leon,M Television,2024,Sencillo
Kings of Leon,Can We Please Have Fun,2024,Álbum
Kings of Leon,Nothing To Do,2024,Sencillo
Kings of Leon,Split Screen,2024,Sencillo
Kings of Leon,Mustang,2024,Sencillo
Kings of Leon,When You See Yourself,2021,Álbum
Kings of Leon,Echoing,2021,Sencillo
Kings of Leon,The Bandit / 100000 People,2021,Sencillo
Kings of Leon,Waste A Moment (Live),2017,Sencillo
Kings of Leon,WALLS,2016,Álbum
Kings of Leon,I Love You All the Time (Play It Forward Campaign),2015,Sencillo
Kings of Leon,Mechanical Bull (Expanded Edition),2013,Álbum
Kings of Leon,Talihina Sky,2011,Sencillo
Kings of Leon,Come Around Sundown (Expanded Edition),2010,Álbum
Kings of Leon,Notion,2009,EP
Kings of Leon,Sex On Fire,2009,Sencillo
Kings of Leon,Use Somebody,2009,EP
Kings of Leon,Only By The Night,2008,Álbum
Kings of Leon,Charmer,2007,Sencillo
Kings of Leon,Because Of The Times,2007,Álbum
Kings of Leon,Day Old Belgian Blues,2006,EP
Kings of Leon,Aha Shake Heartbreak,2005,Álbum
Kings of Leon,Razz (Dub Mix),2004,Sencillo
Kings of Leon,Molly's Chambers (Live at Birmingham Academy),2003,Sencillo
Michael Jackson,Michael: The Birth of A Superstar,2026,Álbum
Michael Jackson,Thriller 40,2022,Álbum
Michael Jackson,Michael Jackson x Mark Ronson: Diamonds are Invincible,2018,Sencillo
Michael Jackson,Thriller (Steve Aoki Midnight Hour Remix),2017,Sencillo
Michael Jackson,Scream,2017,Compilación
Michael Jackson,Slave to the Rhythm (Audien Remix Radio Edit),2014,Sencillo
Michael Jackson,Love Never Felt So Good (David Morales and Eric Kupper Def Mix),2014,Sencillo
Michael Jackson,Love Never Felt So Good (Fedde Le Grand Remix Radio Edit),2014,Sencillo
Michael Jackson,XSCAPE - Track by Track Commentary,2014,Álbum
Michael Jackson,XSCAPE,2014,Álbum
Michael Jackson,Bad 25th Anniversary,2012,Álbum
Michael Jackson,Immortal,2011,Compilación
Michael Jackson,Michael,2010,Álbum
Michael Jackson,Michael Jackson's This Is It,2009,Compilación
Michael Jackson,Michael Jackson: The Complete Remix Suite,2009,Compilación
Michael Jackson,Hello World - The Motown Solo Collection,2009,Compilación
Michael Jackson,The Stripped Mixes,2009,Compilación
Michael Jackson,The Definitive Collection,2009,Compilación
Michael Jackson,Pure Michael: Motown A Cappella,2009,Compilación
Michael Jackson,Ben / You Can Cry On My Shoulder,2009,Compilación
Michael Jackson,Gold,2008,Compilación
Michael Jackson,Thriller 25 Super Deluxe Edition,2008,Álbum
Michael Jackson,The Essential Michael Jackson,2005,Compilación
Michael Jackson,Number Ones,2003,Compilación
Michael Jackson,Love Songs,2002,Compilación
Michael Jackson,Invincible,2001,Álbum
Michael Jackson,20th Century Masters: The Millennium Collection: Best of Michael Jackson,2000,Compilación
Michael Jackson,BLOOD ON THE DANCE FLOOR/ HIStory In The Mix,1997,Álbum
Metallica,Too Far Gone? (Live at MetLife Stadium East Rutherford NJ – August 6 2023),2023,Sencillo
Metallica,72 Seasons,2023,Álbum
Metallica,72 Seasons,2023,Sencillo
Metallica,If Darkness Had a Son,2023,Sencillo
Metallica,Screaming Suicide,2023,Sencillo
Metallica,Lux Æterna,2022,Sencillo
Metallica,The Metallica Blacklist,2021,Compilación
Metallica,Metallica (Remastered Deluxe Box Set),2021,Álbum
Metallica,Metallica (Remastered 2021),2021,Álbum
Metallica,S&M2,2020,Álbum
Metallica,For Whom The Bell Tolls (Live),2020,Sencillo
Metallica,Moth Into Flame (Live),2020,Sencillo
Metallica,All Within My Hands (Live) / Nothing Else Matters (Live),2020,Sencillo
Metallica,Blackened 2020,2020,Sencillo
Metallica,Helping Hands…Live & Acoustic At The Masonic,2019,Álbum
Metallica,One (Live At Long Beach Arena Long Beach CA / December 7th 1988),2018,Sencillo
Metallica,The Shortest Straw (December 1987 / Writing In Progress),2018,Sencillo
Metallica,Eye Of The Beholder (Live At Hammersmith Odeon London England / October 10th 1988),2018,Sencillo
Metallica,Hardwired…To Self-Destruct (Deluxe),2016,Álbum
Metallica,Hardwired…To Self-Destruct,2016,Álbum
Metallica,Metallica Through The Never (Music From The Motion Picture),2013,Álbum
Metallica,Beyond Magnetic,2011,EP
Metallica,I Disappear,2008,Sencillo
Metallica,Death Magnetic,2008,Álbum
Metallica,Some Kind Of Monster,2004,Álbum
Metallica,St. Anger,2003,Álbum
Metallica,S&M,1999,Álbum
Metallica,Garage Inc.,1998,Compilación
Linea Aspera,Mycelium,2024,Sencillo
Linea Aspera,Linea Aspera LP II,2020,Álbum
Linea Aspera,Preservation Bias,2019,Álbum
Linea Aspera,Linea Aspera,2012,Álbum
Buscabulla,Miraverahí (Slow Jamz Remix),2026,Sencillo
Buscabulla,Se Amaba Así,2025,Álbum
Buscabulla,Miraverahí,2025,Sencillo
Buscabulla,Te Fuiste,2025,Sencillo
Buscabulla,El Camino,2025,Sencillo
Buscabulla,11:11,2024,Sencillo
Buscabulla,Mi vida en llamas (feat. Buscabulla),2023,Sencillo
Buscabulla,Descripción (Tú) Bucabulla Rework)),2022,Sencillo
Buscabulla,Cantares,2021,Sencillo
Buscabulla,close (Buscabulla Remix),2021,Sencillo
Buscabulla,Too Late (Buscabulla Remix),2021,Sencillo
Buscabulla,High Season (with Buscabulla),2021,Sencillo
Buscabulla,Moody (Buscabulla Remix),2021,Sencillo
Buscabulla,My Ways (Buscabulla Remix),2021,Sencillo
Buscabulla,Eva,2021,Sencillo
Buscabulla,la luz(Fín) [Buscabulla Remix],2020,Sencillo
Buscabulla,Ta Que Tiembla (Buscabulla x Empress Of [Empress Of Remix]),2020,Sencillo
Buscabulla,Regresa Remixes,2020,EP
Buscabulla,Bad Advice (Buscabulla Remix),2020,Sencillo
Buscabulla,Ta Que Tiembla (Pachyman Remix),2020,Sencillo
Buscabulla,NTE (Jonti Remix),2020,Sencillo
Buscabulla,Regresa,2020,Álbum
Buscabulla,El Aprieto,2020,Sencillo
Buscabulla,Nydia,2020,Sencillo
Buscabulla,NTE,2020,Sencillo
Buscabulla,Vámono,2019,Sencillo
Buscabulla,EP II,2017,EP
Buscabulla,Métele (Cesare Remix),2015,Sencillo
Kendrick Lamar,Super Bowl LIX Halftime Show (Live),2025,Sencillo
Kendrick Lamar,GNX,2024,Álbum
Kendrick Lamar,Not Like Us,2024,Sencillo
Kendrick Lamar,meet the grahams,2024,Sencillo
Kendrick Lamar,euphoria,2024,Sencillo
Kendrick Lamar,The Hillbillies,2023,Sencillo
Kendrick Lamar,Mr. Morale & The Big Steppers,2022,Álbum
Kendrick Lamar,The Heart Part 5,2022,Sencillo
Kendrick Lamar,family ties (with Kendrick Lamar),2021,Sencillo
Kendrick Lamar,Malcolm X,2021,Sencillo
Kendrick Lamar,The Mantra,2018,Sencillo
Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018,Álbum
Kendrick Lamar,King's Dead (with Kendrick Lamar Future & James Blake),2018,Sencillo
Kendrick Lamar,All The Stars (with SZA),2018,Sencillo
Kendrick Lamar,DAMN. COLLECTORS EDITION.,2017,Álbum
Kendrick Lamar,HUMBLE. (SKRILLEX REMIX),2017,Sencillo
Kendrick Lamar,DAMN.,2017,Álbum
Kendrick Lamar,The Heart Part 4,2017,Sencillo
Kendrick Lamar,untitled 07 | levitate,2016,Sencillo
Kendrick Lamar,untitled unmastered.,2016,Álbum
Kendrick Lamar,These Walls,2015,Sencillo
Kendrick Lamar,Alright,2015,Sencillo
Kendrick Lamar,To Pimp A Butterfly,2015,Álbum
Kendrick Lamar,Swimming Pools (Drank) [Black Hippy Remix],2015,Sencillo
Kendrick Lamar,County Building Blues,2015,Sencillo
Kendrick Lamar,i,2014,Sencillo
Kendrick Lamar,Two Presidents,2013,Sencillo
Kendrick Lamar,good kid m.A.A.d city (Deluxe),2012,Álbum
